# From Clayton et al. (2017, in prep), Table XX
# Edited to have uniform star names and clear column names
# name lognhtot lognhtot_unc lognhi lognhi_unc lognh2 lognh2_unc logfh2 lognh  ebv  hiref
BD+35d4258    21.29  0.12  21.28  0.10  19.55  0.07  -1.37  -0.76  0.29  14
BD+53d2820    21.39  0.08  21.35  0.09  20.08  0.17  -1.01  -0.64  0.36  2 
BD+56d524     21.54  0.15  21.47  0.13  20.82  0.28  -0.42  -0.32  0.53  1
HD001383      21.50  0.08  21.42  0.09  20.44  0.13  -0.76  -0.45  0.51  2 
HD013268      21.42  0.07  21.32  0.09  20.42  0.08  -0.70  -0.43  0.44  2 
HD014250      21.63  0.13  21.52  0.15  20.66  0.18  -0.67  -0.23  0.53  4 
HD014434      21.48  0.08  21.37  0.09  20.54  0.14  -0.64  -0.37  0.48  2 
HD015558      21.66  0.14  21.52  0.18  20.80  0.07  -0.56  -0.10  0.84  3 
HD017505      21.48  0.10  21.26  0.15  20.79  0.07  -0.39  -0.31  0.72  3 
HD023060      21.29  0.15  21.40  0.18  20.55  0.07  -0.44  0.30  0.29  1
HD027778      21.36  0.08  21.10  0.12  20.72  0.08  -0.34  0.53  0.38  2 
HD037903      21.46  0.06  21.16  0.09  20.85  0.07  -0.31  0.43  0.35  2 
HD038087      21.59  0.12  21.48  0.15  20.65  0.06  -0.64  0.46  0.29  4 
HD045314      21.25  0.06  21.04  0.09  20.54  0.06  -0.41  -0.14  0.46  3 
HD046056      21.54  0.10  21.38  0.14  20.71  0.07  -0.53  -0.11  0.49  3 
HD046150      21.40  0.09  21.26  0.12  20.54  0.08  -0.56  -0.25  0.45  3 
HD046202      21.63  0.12  21.47  0.13  20.63  0.07  -0.70  -0.02  0.48  1 
HD047129      21.28  0.09  21.15  0.11  20.38  0.07  -0.60  -0.37  0.36  1 
HD047240      21.31  0.10  21.20  0.12  20.35  0.09  -0.66  -0.34  0.38  3 
HD047417      21.28  0.07  21.13  0.09  20.45  0.09  -0.53  -0.37  0.31  3 
HD062542      21.34  0.15  21.54  0.18  20.85  0.21  -0.19  0.46  0.35  1
HD073882      21.59  0.07  21.11  0.15  21.11  0.07  -0.18  0.25  0.70  4 
HD091651      21.16  0.06  21.15  0.06  19.08  0.11  -1.78  -0.78  0.30  3 
HD093222      21.42  0.06  21.40  0.06  19.77  0.09  -1.35  -0.42  0.36  6 
HD093250      21.46  0.13  21.39  0.15  20.32  0.14  -0.84  -0.46  0.47  3 
HD093827      21.37  0.13  21.30  0.15  20.25  0.10  -0.82  -1.04  0.23  1 
HD096675      21.26  0.15  21.78  0.18  20.82  0.11  -0.14  0.56  0.30  1
HD096715      21.39  0.11  21.20  0.16  20.65  0.06  -0.44  -0.61  0.39  3 
HD099872      21.37  0.15  21.21  0.21  20.55  0.11  -0.52  0.51  0.36  1a
HD099890      20.96  0.12  20.93  0.13  19.53  0.09  -1.13  -1.02  0.24  3 
HD100213      21.32  0.06  21.18  0.07  20.45  0.09  -0.57  -0.48  0.34  3 
HD101190      21.29  0.08  21.15  0.11  20.44  0.07  -0.55  -0.45  0.36  3 
HD101205      21.29  0.06  21.20  0.07  20.26  0.15  -0.73  -0.45  0.38  3 
HD103779      21.20  0.09  21.16  0.10  19.86  0.11  -1.04  -0.90  0.21  3 
HD122879      21.35  0.10  21.26  0.12  20.31  0.08  -0.74  -0.46  0.36  2 
HD124979      21.40  0.09  21.30  0.11  20.44  0.07  -0.66  -0.34  0.31  3 
HD147888      21.76  0.08  21.71  0.09  20.47  0.08  -0.99  1.11  0.52  2 
HD148422      21.23  0.10  21.15  0.12  20.13  0.07  -0.80  -0.98  0.28  3 
HD149404      21.58  0.10  21.40  0.14  20.80  0.07  -0.48  -0.05  0.68  3 
HD151805      21.44  0.09  21.36  0.11  20.36  0.07  -0.78  -0.82  0.34  3 
HD152233      21.37  0.09  21.29  0.10  20.31  0.11  -0.76  -0.40  0.46  3 
HD152234      21.44  0.10  21.32  0.12  20.50  0.08  -0.64  -0.33  0.42  3 
HD152248      21.41  0.15  21.30  0.13  20.26  0.07  -0.85  -0.36  0.41  1
HD152249      21.48  0.11  21.41  0.12  20.34  0.25  -0.84  -0.29  0.42  3 
HD152723      21.49  0.12  21.43  0.13  20.30  0.09  -0.89  -0.28  0.46  3 
HD157857      21.44  0.07  21.26  0.09  20.65  0.07  -0.49  -0.42  0.50  2 
HD160993      21.20  0.10  21.18  0.10  19.49  0.04  -1.41  -1.01  0.21  3 
HD163522      21.12  0.08  21.09  0.08  19.59  0.14  -1.23  -1.34  0.19  3 
HD164816      21.22  0.12  21.18  0.13  19.89  0.05  -1.03  -0.47  0.29  3 
HD164906      21.29  0.08  21.20  0.09  20.24  0.07  -0.75  -0.30  0.51  3 
HD165052      21.41  0.09  21.36  0.10  20.16  0.11  -0.95  -0.28  0.41  3 
HD167402      21.10  0.11  20.99  0.13  20.17  0.09  -0.63  -1.24  0.23  3 
HD167771      21.33  0.08  21.08  0.12  20.68  0.10  -0.35  -0.32  0.43  3 
HD168076      21.74  0.20  21.65  0.23  20.68  0.07  -0.76  0.01  0.76  3 
HD168941      21.21  0.07  21.11  0.09  20.21  0.07  -0.70  -1.04  0.37  3 
HD178487      21.31  0.08  21.15  0.10  20.50  0.09  -0.51  -1.06  0.40  3 
HD179406      21.30  0.15  21.40  0.13  20.67  0.06  -0.33  0.24  0.33  1
HD179407      21.23  0.09  21.11  0.11  20.31  0.07  -0.62  -1.15  0.31  3 
HD185418      21.41  0.06  21.19  0.09  20.70  0.07  -0.41  0.08  0.51  2 
HD188001      21.14  0.07  21.03  0.08  20.18  0.08  -0.66  -0.81  0.31  3 
HD190603      21.78  0.10  21.71  0.11  20.68  0.07  -0.80  0.33  0.71  1 
HD192639      21.47  0.07  21.29  0.09  20.70  0.07  -0.47  -0.28  0.66  2 
HD197770      21.52  0.15  21.30  0.13  20.90  0.12  -0.32  0.06  0.58  1
HD198781      21.15  0.06  20.91  0.09  20.48  0.07  -0.37  -0.13  0.35  2 
HD199579      21.25  0.08  21.04  0.11  20.53  0.09  -0.42  -0.14  0.36  3 
HD200775      21.53  0.08  21.10  0.10  21.03  0.10  -0.20  0.41  0.58  9 
HD203938      21.70  0.10  21.48  0.15  21.01  0.07  -0.39  0.31  0.72  4 
HD206267      21.52  0.10  21.30  0.15  20.81  0.05  -0.41  0.26  0.53  10
HD206773      21.24  0.05  21.09  0.06  20.42  0.09  -0.52  -0.04  0.44  2 
HD207198      21.68  0.11  21.53  0.15  20.83  0.07  -0.55  -0.40  0.62  2 
HD209339      21.34  0.15  21.26  0.18  20.24  0.08  -0.80  -0.15  0.37  1 
HD216898      22.07  0.12  21.98  0.14  21.02  0.07  -0.75  0.68  0.85  1 
HD239729      21.57  0.10  21.15  0.15  21.07  0.12  -0.20  0.29  0.68  4 
HD326329      21.43  0.02  21.36  0.02  20.27  0.04  -0.86  -0.36  0.44  12
HD332407      21.35  0.11  21.24  0.14  20.40  0.07  -0.65  -0.80  0.39  3 
BD+32d270     20.79  0.09  20.78  0.09  18.69  0.04  -1.80  -1.15  0.08  3 
BD+52d3210    21.13  0.15  21.30  0.13  19.88  0.07  -0.95  -1.07  0.24  1 
HD037332      20.24  0.15  21.54  0.15  15.69  0.19  -4.25  -0.76  0.03  1 
HD037525      20.67  0.15  21.48  0.18  16.24  1.50  -4.13  -0.41  0.07  1 
HD051013      20.00  0.18  20.00  0.18  14.40  0.09  -5.30  -1.16  0.03  7 
HD075309      21.16  0.07  21.08  0.09  20.11  0.07  -0.75  -0.57  0.27  2 
