# From Gordon et al. (2009, ApJ, 705, 1320), Table 3
# Edited to have uniform star names and clear column names
#Name	        CAV1   CAV1_runc  CAV1_sunc     CAV2    CAV2_runc  CAV2_sunc    CAV3    CAV3_runc  CAV3_sunc    CAV4    CAV4_runc  CAV4_sunc    x_o      x_o_runc  x_o_sunc    gamma   gamma_runc gamma_sunc	
HD103779	0.99      0.061      0.051	0.22      0.012      0.014	0.86      0.062      0.049	0.14      0.010      0.008	4.56      0.030      0.013	0.84      0.018      0.011	
HD122879	1.15      0.082      0.036	0.15      0.015      0.007	0.53      0.058      0.028	0.09      0.011      0.003	4.57      0.038      0.010	0.74      0.015      0.009	
HD124979	0.64      0.076      0.026	0.35      0.014      0.015	0.71      0.060      0.039	0.12      0.011      0.005	4.57      0.034      0.017	0.77      0.023      0.019	
HD147888	1.43      0.045      0.024	0.03      0.006      0.003	0.74      0.072      0.026	0.07      0.007      0.003	4.58      0.033      0.007	0.94      0.023      0.017	
HD148422	0.01      0.003      0.015	0.50      0.006      0.024	0.84      0.076      0.049	0.11      0.010      0.005	4.61      0.039      0.014	0.93      0.020      0.012	
HD149404	1.08      0.036      0.028	0.16      0.007      0.005	1.09      0.056      0.029	0.14      0.007      0.004	4.57      0.024      0.007	1.03      0.018      0.007	
HD151805	1.00      0.079      0.038	0.17      0.015      0.008	1.00      0.095      0.044	0.12      0.010      0.005	4.55      0.037      0.011	0.94      0.019      0.011	
HD152233	0.61      0.098      0.029	0.29      0.020      0.015	1.06      0.117      0.058	0.09      0.013      0.004	4.58      0.047      0.010	0.99      0.020      0.010	
HD152234	0.77      0.074      0.028	0.26      0.013      0.011	0.83      0.081      0.034	0.10      0.010      0.004	4.55      0.036      0.010	0.91      0.018      0.009	
HD152248	0.91      0.063      0.027	0.22      0.012      0.008	0.70      0.055      0.032	0.08      0.009      0.003	4.59      0.033      0.016	0.85      0.023      0.018	
HD152249	1.00      0.066      0.022	0.20      0.011      0.005	0.99      0.071      0.023	0.10      0.007      0.002	4.60      0.032      0.009	1.02      0.020      0.010	
HD152723	0.65      0.057      0.028	0.24      0.011      0.012	0.92      0.065      0.051	0.08      0.009      0.004	4.57      0.031      0.009	0.93      0.018      0.010	
HD157857	0.78      0.088      0.032	0.22      0.017      0.011	1.47      0.118      0.068	0.11      0.012      0.005	4.54      0.029      0.007	0.96      0.018      0.009	
HD160993	0.10      0.028      0.019	0.53      0.011      0.035	0.80      0.133      0.064	0.16      0.018      0.011	4.70      0.079      0.018	0.98      0.023      0.017	
HD163522	-0.36      0.095      0.028	0.59      0.022      0.035	0.70      0.145      0.054	0.10      0.018      0.007	4.85      0.084      0.023	1.22      0.033      0.026	
HD164816	1.24      0.095      0.056	0.14      0.017      0.011	0.84      0.086      0.044	0.06      0.010      0.004	4.60      0.042      0.012	0.88      0.019      0.012	
HD164906	0.98      0.039      0.021	0.10      0.007      0.005	0.62      0.037      0.021	0.05      0.004      0.002	4.58      0.029      0.012	1.00      0.021      0.013	
HD165052	0.96      0.074      0.048	0.17      0.013      0.011	1.04      0.079      0.066	0.08      0.008      0.004	4.57      0.028      0.009	0.94      0.020      0.012	
HD167402	0.02      0.006      0.022	0.47      0.009      0.023	0.73      0.111      0.045	0.04      0.010      0.003	4.64      0.066      0.014	0.91      0.022      0.015	
HD167771	1.03      0.061      0.032	0.17      0.012      0.008	0.93      0.063      0.043	0.10      0.008      0.004	4.56      0.030      0.016	0.92      0.026      0.021	
HD168076	0.69      0.058      0.015	0.23      0.011      0.006	1.25      0.104      0.035	0.05      0.008      0.002	4.63      0.033      0.007	1.16      0.022      0.010	
HD168941	0.99      0.093      0.034	0.15      0.018      0.007	0.41      0.060      0.025	0.06      0.012      0.003	4.53      0.053      0.012	0.69      0.015      0.010	
HD178487	0.92      0.073      0.029	0.21      0.014      0.008	0.83      0.079      0.035	0.10      0.011      0.004	4.60      0.035      0.010	0.88      0.018      0.010	
HD179406	1.03      0.101      0.039	0.25      0.019      0.011	1.57      0.142      0.064	0.16      0.014      0.007	4.61      0.036      0.006	1.05      0.021      0.011	
HD179407	0.43      0.083      0.019	0.39      0.016      0.017	1.57      0.169      0.068	0.13      0.015      0.005	4.71      0.056      0.015	1.26      0.029      0.020	
HD185418	1.37      0.094      0.042	0.16      0.017      0.009	1.89      0.118      0.060	0.14      0.011      0.004	4.59      0.025      0.007	1.03      0.020      0.010	
HD188001	0.67      0.091      0.028	0.28      0.017      0.013	0.70      0.087      0.048	0.04      0.010      0.003	4.58      0.052      0.021	0.85      0.030      0.026	
HD190603	0.54      0.062      0.066	0.33      0.013      0.041	1.35      0.117      0.166	0.04      0.008      0.005	4.65      0.038      0.007	1.15      0.021      0.009	
HD192639	0.78      0.049      0.017	0.27      0.010      0.007	1.23      0.070      0.040	0.06      0.008      0.002	4.57      0.021      0.010	0.96      0.023      0.016	
HD197770	0.99      0.045      0.027	0.23      0.009      0.007	1.81      0.074      0.053	0.21      0.006      0.006	4.59      0.015      0.008	1.10      0.017      0.011	
HD198781	0.44      0.104      0.025	0.42      0.020      0.018	2.09      0.225      0.084	0.13      0.017      0.006	4.69      0.057      0.013	1.36      0.031      0.021	
